command,value,name
output,0,OFF
,1,ON
sync,0,OFF
,1,ON
load,1,MIN
,1.00E+04,MAX
,1.00E+04,INF
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
